name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,dateIdentified,coordinateUncertaintyInMeters,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,verbatimEventDate,datasetName,collectionCode,verbatimLocality,gbifID,occurrenceID,taxonID,catalogNumber,recordedBy,institutionCode,eventTime,identifiedBy,identificationID,lifeStage,informationWithheld
"Latrodectus mactans (Fabricius, 1775)",-89.847949,31.53159,cdround,gbif,3017993854,"Latrodectus mactans (Fabricius, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:16.929+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2157949,1,54,367,1496,9583,2157920,2157949,2157949,"Latrodectus mactans (Fabricius, 1775)",Animalia,Arthropoda,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,Latrodectus,mactans,SPECIES,ACCEPTED,2021-01-03T16:31:44,8,Mississippi,2021,1,3,2021-01-03,2021-01-03T16:55:53.000+00:00,2021-12-08T05:01:16.929+00:00,https://www.inaturalist.org/observations/67521042,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Arachnida,US,United States of America,Joseph McPhail,67521042,thebirdnerd,Sun Jan 03 2021 10:30:56 GMT-0600 (CST),iNaturalist research-grade observations,Observations,"Jordan Hill Rd, Carson, MS, US",3017993854,https://www.inaturalist.org/observations/67521042,47381,67521042,Joseph McPhail,iNaturalist,16:30:56Z,Joseph McPhail,148932028,NA,NA
"Latrodectus mactans (Fabricius, 1775)",-85.269268,34.465214,cdround,gbif,3018068790,"Latrodectus mactans (Fabricius, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:55:20.277+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2157949,1,54,367,1496,9583,2157920,2157949,2157949,"Latrodectus mactans (Fabricius, 1775)",Animalia,Arthropoda,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,Latrodectus,mactans,SPECIES,ACCEPTED,2021-01-02T18:32:11,19,Georgia,2021,1,2,2021-01-02,2021-01-02T21:51:15.000+00:00,2021-12-08T05:55:20.277+00:00,https://www.inaturalist.org/observations/67467716,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Arachnida,US,United States of America,wrikard,67467716,wrikard,Sat Jan 02 2021 13:31:38 GMT-0500 (EST),iNaturalist research-grade observations,Observations,"Chattahoochee-Oconee National Forests, Summerville, GA, US",3018068790,https://www.inaturalist.org/observations/67467716,47381,67467716,wrikard,iNaturalist,18:31:38Z,wrikard,148783552,NA,NA
"Latrodectus mactans (Fabricius, 1775)",-97.919861,30.500461,cdround,gbif,3031711113,"Latrodectus mactans (Fabricius, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:53.724+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2157949,1,54,367,1496,9583,2157920,2157949,2157949,"Latrodectus mactans (Fabricius, 1775)",Animalia,Arthropoda,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,Latrodectus,mactans,SPECIES,ACCEPTED,2021-01-18T18:32:15,13,Texas,2021,1,18,2021-01-18,2021-01-19T01:06:10.000+00:00,2021-12-08T05:01:53.724+00:00,https://www.inaturalist.org/observations/68282111,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Arachnida,US,United States of America,Texas waterfowl rescue.,68282111,texaswaterfowlrescue,2021-01-18 12:25:11 PM CST,iNaturalist research-grade observations,Observations,"Jonestown, TX, USA",3031711113,https://www.inaturalist.org/observations/68282111,47381,68282111,Texas waterfowl rescue.,iNaturalist,18:25:11Z,PEDRO GABRIEL,151120019,NA,NA
"Latrodectus mactans (Fabricius, 1775)",-80.804394,32.554309,cdround,gbif,3031870494,"Latrodectus mactans (Fabricius, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:53:34.919+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2157949,1,54,367,1496,9583,2157920,2157949,2157949,"Latrodectus mactans (Fabricius, 1775)",Animalia,Arthropoda,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,Latrodectus,mactans,SPECIES,ACCEPTED,2021-01-11T00:13:56,1410,South Carolina,2021,1,8,2021-01-08,2021-01-11T00:15:30.000+00:00,2021-12-08T05:53:34.919+00:00,https://www.inaturalist.org/observations/67882674,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Arachnida,US,United States of America,Jake Zadik,67882674,jdzadik,Fri Jan 08 2021 16:41:25 GMT-0500 (EST),iNaturalist research-grade observations,Observations,"Sheldon, Beaufort, SC, US",3031870494,https://www.inaturalist.org/observations/67882674,47381,67882674,Jake Zadik,iNaturalist,21:41:25Z,Jake Zadik,150018092,NA,NA
"Latrodectus mactans (Fabricius, 1775)",-92.626197,32.548838,cdround,gbif,3031929832,"Latrodectus mactans (Fabricius, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:54.826+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2157949,1,54,367,1496,9583,2157920,2157949,2157949,"Latrodectus mactans (Fabricius, 1775)",Animalia,Arthropoda,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,Latrodectus,mactans,SPECIES,ACCEPTED,2021-01-26T21:13:48,15,Louisiana,2021,1,26,2021-01-26,2021-03-17T13:14:22.000+00:00,2021-12-08T05:01:54.826+00:00,https://www.inaturalist.org/observations/68656831,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Arachnida,US,United States of America,mxgan,68656831,mxgan,Tue Jan 26 2021 13:15:52 GMT-0600 (CST),iNaturalist research-grade observations,Observations,"Victoria Dr, Ruston, LA, US",3031929832,https://www.inaturalist.org/observations/68656831,47381,68656831,mxgan,iNaturalist,13:15:52Z,mxgan,152231491,Adult,NA
"Latrodectus mactans (Fabricius, 1775)",-95.771157,29.990217,cdround,gbif,3031994781,"Latrodectus mactans (Fabricius, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:16.623+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2157949,1,54,367,1496,9583,2157920,2157949,2157949,"Latrodectus mactans (Fabricius, 1775)",Animalia,Arthropoda,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,Latrodectus,mactans,SPECIES,ACCEPTED,2021-01-25T21:34:24,6315,Texas,2021,1,25,2021-01-25,2021-01-26T16:47:00.000+00:00,2021-12-08T05:01:16.623+00:00,https://www.inaturalist.org/observations/68608243,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Arachnida,US,United States of America,jbouska,68608243,jbouska,Mon Jan 25 2021 13:23:08 GMT-0600 (CST),iNaturalist research-grade observations,Observations,"Cypress, TX, US",3031994781,https://www.inaturalist.org/observations/68608243,47381,68608243,jbouska,iNaturalist,13:23:08Z,PEDRO GABRIEL,152100830,NA,NA
"Latrodectus mactans (Fabricius, 1775)",-88.623711,32.542857,cdround,gbif,3032130140,"Latrodectus mactans (Fabricius, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:11.135+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2157949,1,54,367,1496,9583,2157920,2157949,2157949,"Latrodectus mactans (Fabricius, 1775)",Animalia,Arthropoda,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,Latrodectus,mactans,SPECIES,ACCEPTED,2021-01-18T17:52:18,32,Mississippi,2021,1,18,2021-01-18,2021-01-18T18:31:44.000+00:00,2021-12-08T05:01:11.135+00:00,https://www.inaturalist.org/observations/68280305,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Arachnida,US,United States of America,theofrnavy,68280305,theofrnavy,Mon Jan 18 2021 11:51:25 GMT-0600 (CST),iNaturalist research-grade observations,Observations,"Naval Air Station Meridian, Meridian, MS, US",3032130140,https://www.inaturalist.org/observations/68280305,47381,68280305,theofrnavy,iNaturalist,11:51:25Z,theofrnavy,151115299,NA,NA
"Latrodectus mactans (Fabricius, 1775)",-86.500603,15.530222,cdround,gbif,3058716671,"Latrodectus mactans (Fabricius, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:44.751+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2157949,1,54,367,1496,9583,2157920,2157949,2157949,"Latrodectus mactans (Fabricius, 1775)",Animalia,Arthropoda,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,Latrodectus,mactans,SPECIES,ACCEPTED,2021-01-15T09:35:16,40497,Yoro,2021,1,14,2021-01-14,2021-03-14T03:11:24.000+00:00,2021-12-08T05:01:44.751+00:00,https://www.inaturalist.org/observations/68083257,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Arachnida,HN,Honduras,naturalhonduras,68083257,naturalhonduras,Thu Jan 14 2021 19:50:12 GMT-0600 (CST),iNaturalist research-grade observations,Observations,"Olanchito, Yoro, HN",3058716671,https://www.inaturalist.org/observations/68083257,47381,68083257,naturalhonduras,iNaturalist,19:50:12Z,PEDRO GABRIEL,150615008,NA,NA
"Latrodectus mactans (Fabricius, 1775)",-85.429905,30.569208,cdround,gbif,3407962405,"Latrodectus mactans (Fabricius, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:09.403+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2157949,1,54,367,1496,9583,2157920,2157949,2157949,"Latrodectus mactans (Fabricius, 1775)",Animalia,Arthropoda,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,Latrodectus,mactans,SPECIES,ACCEPTED,2021-01-29T13:18:56,29356,Florida,2021,1,28,2021-01-28,2021-11-01T13:40:43.000+00:00,2021-12-08T05:02:09.403+00:00,https://www.inaturalist.org/observations/68758734,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Arachnida,US,United States of America,Kaylyn Cullen,68758734,kaylyncullen,Thu Jan 28 2021 13:47:54 GMT-0600 (CST),iNaturalist research-grade observations,Observations,"Florida, US",3407962405,https://www.inaturalist.org/observations/68758734,47381,68758734,Kaylyn Cullen,iNaturalist,19:47:54Z,Kaylyn Cullen,152559476,NA,Coordinate uncertainty increased to 29356m at the request of the observer
"Latrodectus mactans (Fabricius, 1775)",-94.513474,37.055481,cdround,gbif,3039419534,"Latrodectus mactans (Fabricius, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:12.636+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2157949,1,54,367,1496,9583,2157920,2157949,2157949,"Latrodectus mactans (Fabricius, 1775)",Animalia,Arthropoda,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,Latrodectus,mactans,SPECIES,ACCEPTED,2021-02-05T19:48:34,NA,Missouri,2021,2,3,2021-02-03,2021-02-05T22:41:53.000+00:00,2021-12-08T05:01:12.636+00:00,https://www.inaturalist.org/observations/69099755,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Arachnida,US,United States of America,"Justin Hamlin, DO",69099755,jkhamlin,2021-02-03T12:47:32-06:00,iNaturalist research-grade observations,Observations,Joplin,3039419534,https://www.inaturalist.org/observations/69099755,47381,69099755,"Justin Hamlin, DO",iNaturalist,18:47:32Z,"Justin Hamlin, DO",153531209,NA,NA
